q,v,viable
2.356194490192345,0.0,1.0
2.356194490192345,0.16666666666666607,1.0
2.356194490192345,0.33333333333333215,1.0
2.356194490192345,0.5,1.0
2.356194490192345,0.6666666666666661,1.0
2.356194490192345,0.8333333333333321,1.0
2.356194490192345,1.0,1.0
2.356194490192345,1.166666666666666,1.0
2.356194490192345,1.3333333333333321,1.0
2.356194490192345,1.5,1.0
2.356194490192345,1.666666666666666,1.0
2.356194490192345,1.8333333333333321,1.0
2.356194490192345,2.0,1.0
2.356194490192345,2.166666666666666,1.0
2.356194490192345,2.333333333333332,1.0
2.356194490192345,2.5,1.0
2.356194490192345,2.666666666666666,1.0
2.356194490192345,2.833333333333332,1.0
2.356194490192345,3.0,1.0
2.356194490192345,3.166666666666666,1.0
2.356194490192345,3.333333333333332,1.0
2.356194490192345,3.5,1.0
2.356194490192345,3.666666666666666,1.0
2.356194490192345,3.833333333333332,1.0
2.356194490192345,4.0,1.0
2.356194490192345,4.166666666666666,1.0
2.356194490192345,4.333333333333332,1.0
2.356194490192345,4.5,1.0
2.356194490192345,4.666666666666666,1.0
2.356194490192345,4.833333333333332,1.0
2.356194490192345,5.0,1.0
2.356194490192345,5.166666666666666,1.0
2.356194490192345,5.333333333333332,1.0
2.356194490192345,5.5,1.0
2.3692844595823024,-0.16666666666666785,1.0
2.3692844595823024,0.0,1.0
2.3692844595823024,0.16666666666666607,1.0
2.3692844595823024,0.33333333333333215,1.0
2.3692844595823024,0.5,1.0
2.3692844595823024,0.6666666666666661,1.0
2.3692844595823024,0.8333333333333321,1.0
2.3692844595823024,1.0,1.0
2.3692844595823024,1.166666666666666,1.0
2.3692844595823024,1.3333333333333321,1.0
2.3692844595823024,1.5,1.0
2.3692844595823024,1.666666666666666,1.0
2.3692844595823024,1.8333333333333321,1.0
2.3692844595823024,2.0,1.0
2.3692844595823024,2.166666666666666,1.0
2.3692844595823024,2.333333333333332,1.0
2.3692844595823024,2.5,1.0
2.3692844595823024,2.666666666666666,1.0
2.3692844595823024,2.833333333333332,1.0
2.3692844595823024,3.0,1.0
2.3692844595823024,3.166666666666666,1.0
2.3692844595823024,3.333333333333332,1.0
2.3692844595823024,3.5,1.0
2.3692844595823024,3.666666666666666,1.0
2.3692844595823024,3.833333333333332,1.0
2.3692844595823024,4.0,1.0
2.3692844595823024,4.166666666666666,1.0
2.3692844595823024,4.333333333333332,1.0
2.3692844595823024,4.5,1.0
2.3692844595823024,4.666666666666666,1.0
2.3692844595823024,4.833333333333332,1.0
2.3692844595823024,5.0,1.0
2.3692844595823024,5.166666666666666,1.0
2.3692844595823024,5.333333333333332,1.0
2.3692844595823024,5.5,1.0
2.38237442897226,-0.3333333333333339,1.0
2.38237442897226,-0.16666666666666785,1.0
2.38237442897226,0.0,1.0
2.38237442897226,0.16666666666666607,1.0
2.38237442897226,0.33333333333333215,1.0
2.38237442897226,0.5,1.0
2.38237442897226,0.6666666666666661,1.0
2.38237442897226,0.8333333333333321,1.0
2.38237442897226,1.0,1.0
2.38237442897226,1.166666666666666,1.0
2.38237442897226,1.3333333333333321,1.0
2.38237442897226,1.5,1.0
2.38237442897226,1.666666666666666,1.0
2.38237442897226,1.8333333333333321,1.0
2.38237442897226,2.0,1.0
2.38237442897226,2.166666666666666,1.0
2.38237442897226,2.333333333333332,1.0
2.38237442897226,2.5,1.0
2.38237442897226,2.666666666666666,1.0
2.38237442897226,2.833333333333332,1.0
2.38237442897226,3.0,1.0
2.38237442897226,3.166666666666666,1.0
2.38237442897226,3.333333333333332,1.0
2.38237442897226,3.5,1.0
2.38237442897226,3.666666666666666,1.0
2.38237442897226,3.833333333333332,1.0
2.38237442897226,4.0,1.0
2.38237442897226,4.166666666666666,1.0
2.38237442897226,4.333333333333332,1.0
2.38237442897226,4.5,1.0
2.38237442897226,4.666666666666666,1.0
2.38237442897226,4.833333333333332,1.0
2.38237442897226,5.0,1.0
2.38237442897226,5.166666666666666,1.0
2.38237442897226,5.333333333333332,1.0
2.3954643983622175,-0.3333333333333339,1.0
2.3954643983622175,-0.16666666666666785,1.0
2.3954643983622175,0.0,1.0
2.3954643983622175,0.16666666666666607,1.0
2.3954643983622175,0.33333333333333215,1.0
2.3954643983622175,0.5,1.0
2.3954643983622175,0.6666666666666661,1.0
2.3954643983622175,0.8333333333333321,1.0
2.3954643983622175,1.0,1.0
2.3954643983622175,1.166666666666666,1.0
2.3954643983622175,1.3333333333333321,1.0
2.3954643983622175,1.5,1.0
2.3954643983622175,1.666666666666666,1.0
2.3954643983622175,1.8333333333333321,1.0
2.3954643983622175,2.0,1.0
2.3954643983622175,2.166666666666666,1.0
2.3954643983622175,2.333333333333332,1.0
2.3954643983622175,2.5,1.0
2.3954643983622175,2.666666666666666,1.0
2.3954643983622175,2.833333333333332,1.0
2.3954643983622175,3.0,1.0
2.3954643983622175,3.166666666666666,1.0
2.3954643983622175,3.333333333333332,1.0
2.3954643983622175,3.5,1.0
2.3954643983622175,3.666666666666666,1.0
2.3954643983622175,3.833333333333332,1.0
2.3954643983622175,4.0,1.0
2.3954643983622175,4.166666666666666,1.0
2.3954643983622175,4.333333333333332,1.0
2.3954643983622175,4.5,1.0
2.3954643983622175,4.666666666666666,1.0
2.3954643983622175,4.833333333333332,1.0
2.3954643983622175,5.0,1.0
2.3954643983622175,5.166666666666666,1.0
2.3954643983622175,5.333333333333332,1.0
2.4085543677521746,-0.5,1.0
2.4085543677521746,-0.3333333333333339,1.0
2.4085543677521746,-0.16666666666666785,1.0
2.4085543677521746,0.0,1.0
2.4085543677521746,0.16666666666666607,1.0
2.4085543677521746,0.33333333333333215,1.0
2.4085543677521746,0.5,1.0
2.4085543677521746,0.6666666666666661,1.0
2.4085543677521746,0.8333333333333321,1.0
2.4085543677521746,1.0,1.0
2.4085543677521746,1.166666666666666,1.0
