q1,q2,v1,v2,viable
3.710738292081439,3.3576204120167947,-0.6952503192637138,-1.11310727570741,1.0
2.836079082612935,3.6884018436663726,6.51444989330026,-7.572146520138212,1.0
2.9459993229111685,3.715348183152265,6.19571469735024,-4.967360942708523,1.0
2.9507284218713647,3.193278847948387,-1.9465007580299591,5.154945158283306,1.0
3.611511418125585,3.4877512756643894,3.5024444226123475,-5.689004851731316,1.0
3.300143695766275,2.703249921287281,1.7387963156565007,-0.3559003618602236,1.0
2.690941518468528,2.827518583384093,1.9414831569775792,0.1162330623435163,1.0
3.77116056686337,3.3272863606374496,-0.3539466455355473,-3.598553900817003,1.0
3.2030861614966275,3.620245803393159,2.9994797693725754,-3.0228256497480004,1.0
3.11087977503152,3.612044436226509,-0.7985594385317807,-1.5083410154234418,1.0
3.3162767893500065,3.6132121788374825,1.900724975330185,-4.136721098902787,1.0
3.053408157021952,3.657032189031745,0.2763180735419723,-2.0334681231056244,1.0
2.5812190655592566,3.801030222293964,3.519191554806662,-3.892121753026816,1.0
3.091267934066033,3.699474028225133,2.833916657540394,-5.932725841938447,1.0
3.4238034395251944,3.3618292716595928,-5.871065537758256,3.266353660487759,1.0
3.32837098785945,2.6900261529280867,0.2443984960782543,0.1319136913531053,1.0
3.035314057852671,3.570308222849616,5.33409414573887,-8.10723320516914,1.0
3.373289044687563,3.149433408721924,-5.120032657709171,5.658977234959311,1.0
2.548398824970058,2.9215187120598123,0.4559546063352027,-0.3463308854880846,1.0
3.22014430397974,2.6196276872639115,-2.4558470334140603,8.345816184896272,1.0
3.394664966139782,2.5697165494519054,0.7044051448638449,2.2536294582426635,1.0
3.1927111452891013,2.7193103429901777,-4.066221809780039,8.810137109709931,1.0
2.4136988496470813,3.48473930425782,1.7020217269021582,3.650072832717905,1.0
2.838798360212197,3.77435988799086,-2.4205712240636608,-3.822293788739759,1.0
2.6585520132575264,3.3994601600354253,-1.1352885392536578,3.2834408137739235,1.0
3.774471464206749,2.526520261416565,-4.302630269341845,6.839508070145104,1.0
3.299790620448155,2.820170644894794,0.8621849911318549,-1.6212872850763596,1.0
2.741882332572928,2.7983611366215366,0.3512546696305492,3.172142331279426,1.0
2.663162644524441,3.706773456855254,6.729684391373194,-1.4482050753736946,1.0
3.623147072217913,3.326478775027152,-7.4989997371644,4.259113893125836,1.0
3.900446182691135,2.609799307224732,-3.37583302719821,6.722605609304299,1.0
2.417754572176297,3.699788033226299,3.2370157802148665,1.576943344006894,1.0
2.923883135967674,3.4355168102225675,-5.017467531284763,2.8375494452765224,1.0
3.2794150292121524,3.287415480790268,-5.897034528280769,4.420111581543367,1.0
3.552704609380718,3.471866248114922,-0.358094279880456,-5.558785200431404,1.0
3.538046185222288,2.550133200270758,-6.46648872326675,6.360485537345273,1.0
3.538012649822241,2.4705882140258018,-0.6102780939536316,5.644271963640952,1.0
3.326650565816982,3.615680308173235,4.79848667113718,-4.976318494758026,1.0
2.862236994290329,2.68270754817837,-5.424881233021703,6.010104736119676,1.0
3.9148257510281663,3.137605503137205,-0.686201421966242,-5.458879135382753,1.0
